"store_id","treated","pilot_wave","go_live_month","manual_override"
"ST001",1,2,2023-06-01,1
"ST002",0,0,NA,0
"ST003",1,1,2023-02-01,1
"ST004",0,0,NA,0
"ST005",1,1,2022-11-01,1
"ST006",1,2,2023-07-01,0
"ST007",0,0,NA,0
"ST008",1,1,2023-02-01,1
"ST009",1,1,2023-02-01,0
"ST010",1,1,2023-05-01,0
"ST011",1,1,2023-02-01,0
"ST012",0,0,NA,0
"ST013",1,1,2023-03-01,0
"ST014",1,3,2024-01-01,0
"ST015",1,1,2022-12-01,1
"ST016",1,1,2023-04-01,1
"ST017",1,1,2023-01-01,0
"ST018",1,1,2023-04-01,0
"ST019",1,1,2023-03-01,1
"ST020",0,0,NA,0
"ST021",1,1,2023-02-01,1
"ST022",1,1,2023-01-01,0
"ST023",1,1,2023-03-01,0
"ST024",1,1,2022-11-01,1
"ST025",1,1,2022-12-01,0
"ST026",0,0,NA,0
"ST027",1,1,2022-09-01,1
"ST028",0,0,NA,0
"ST029",1,2,2023-09-01,1
"ST030",1,1,2022-11-01,0
"ST031",1,1,2023-01-01,0
"ST032",1,1,2023-03-01,0
"ST033",1,1,2022-09-01,0
"ST034",1,1,2023-04-01,1
"ST035",1,1,2023-03-01,0
"ST036",1,1,2023-03-01,0
"ST037",1,1,2023-05-01,1
"ST038",1,1,2023-01-01,0
"ST039",1,1,2022-08-01,0
"ST040",1,1,2023-05-01,1
"ST041",1,2,2023-08-01,0
"ST042",1,1,2023-04-01,0
"ST043",0,0,NA,0
"ST044",1,1,2023-01-01,1
"ST045",0,0,NA,0
"ST046",1,1,2023-02-01,1
"ST047",1,1,2022-09-01,0
"ST048",1,2,2023-07-01,0
"ST049",0,0,NA,0
"ST050",1,1,2022-12-01,1
"ST051",1,1,2023-04-01,0
"ST052",0,0,NA,0
"ST053",0,0,NA,0
"ST054",1,1,2023-05-01,0
"ST055",0,0,NA,0
"ST056",0,0,NA,0
"ST057",1,2,2023-08-01,0
"ST058",1,2,2023-08-01,0
"ST059",0,0,NA,0
"ST060",1,1,2023-01-01,0
"ST061",1,2,2023-08-01,0
"ST062",1,1,2023-04-01,1
"ST063",1,1,2023-04-01,1
"ST064",1,1,2023-03-01,0
"ST065",1,1,2022-12-01,1
"ST066",1,1,2022-12-01,1
"ST067",0,0,NA,0
"ST068",1,1,2022-12-01,1
"ST069",0,0,NA,0
"ST070",1,1,2022-07-01,0
"ST071",1,2,2023-08-01,0
"ST072",1,1,2023-04-01,0
"ST073",0,0,NA,0
"ST074",0,0,NA,0
"ST075",1,1,2022-12-01,1
"ST076",1,1,2023-05-01,0
"ST077",0,0,NA,0
"ST078",1,3,2023-12-01,0
"ST079",0,0,NA,0
"ST080",0,0,NA,0
"ST081",1,1,2023-03-01,0
"ST082",0,0,NA,0
"ST083",1,1,2023-04-01,0
"ST084",1,2,2023-08-01,0
"ST085",1,1,2022-12-01,1
"ST086",0,0,NA,0
"ST087",1,1,2023-05-01,1
"ST088",1,1,2022-12-01,1
"ST089",1,1,2022-12-01,0
"ST090",1,1,2023-04-01,0
